Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	gene_length	Entity	Symbol
gene-FTB24_06410	29.11977516297538	13.395200359632184	38.83876760500553	42.26573364743604	16.572490071024184	23.35539699301645	20.161179814955062	14.701976722952674	17.282280508429082	15.81357397438711	13.987068193142521	15.276668346106435	29.537419797768862	38.663265105440985	29.67757697197933	1014	host	gene-FTB24_06410
gene-FTB24_08055	26.045153578675546	18.851564491280676	15.225207906294836	21.725575689609446	18.305024422822047	21.08049694033536	15.772833915412281	14.343694530213433	15.60205177090859	11.432161393107918	10.632815874641167	13.102505293220199	18.601253189509354	18.81761491166896	23.666083369689673	2559	host	gene-FTB24_08055
gene-FTB24_13835	1.808158719631771	1.401827003125344	3.728230285814349	1.290002371134003	1.3548300600467795	2.284351487522002	1.795978297957252	1.4057087059586655	1.1147298921315778	1.4205379579809672	1.7479606226483684	2.222403902141387	3.3234727407927265	5.344743680587683	4.507459700549864	2082	host	gene-FTB24_13835
gene-FTB24_00755	36.85486535177096	23.292327884799697	42.00755995368186	34.61883815904513	22.89770465493057	26.644735067940378	23.624836320424805	20.813944920808648	19.27189624117495	18.69911019464877	14.843133397532464	17.191065770239945	29.399995808283762	34.2992770794226	29.690462059126617	747	host	gene-FTB24_00755
gene-FTB24_00310	1.8690313502762572	2.214919259249296	6.643665165362374	2.5772195626253986	2.469175787660152	4.567678284062401	3.3449614873510667	1.9197926675364325	3.30426889283028	1.6754510393909836	2.7414988234969013	3.434572583990562	2.385666130998952	6.184469762228999	5.016639908872263	1191	host	gene-FTB24_00310
gene-FTB24_09505	3.777177044421418	2.4285719660283553	4.917895898036414	3.4433140214115308	2.4044907469119905	3.9675261741919274	4.480262181101125	2.7359506785044854	5.282539675561097	3.19785607037606	2.8343099815840365	3.7613009185489332	3.535589590748561	8.630890493234805	10.326994689573889	312	host	gene-FTB24_09505
gene-FTB24_10810	2.5020790612727866	2.815287247243062	3.8166360822278356	2.688228781047401	2.34139200884016	3.3889563164066483	3.7468689450864825	3.1392482307499145	3.6063822144867914	3.120746711081278	3.3397920165162214	4.075484198187507	3.9211537904731193	7.48290768128338	7.53817607542701	1884	host	asnB
gene-FTB24_06690	25.422884470015017	29.77767356135447	21.94751775787281	22.163919572376695	28.855903196030308	25.01432870364048	24.944035619805952	26.815181519164383	28.704865663034	25.31018170285675	31.815500526262696	28.20441173448331	36.05258038657647	31.998355330323555	34.611941333388096	573	host	gene-FTB24_06690
gene-FTB24_09205	3.6781499308972614	3.3423941764664913	4.462186046810569	7.846113298227623	6.586035239541769	8.149969792237185	8.952469958281169	8.129682016127614	8.994732083202589	11.530760636425011	11.693917137501778	11.703864379875151	10.516483031930347	9.16597147688677	11.153649942460255	1335	host	gene-FTB24_09205
gene-FTB24_13440	23.593177935124775	26.98899496180861	30.763562893705263	22.381541139174953	26.223246113349365	22.083826343688497	26.20953375944158	29.250376172891585	27.575265024550593	26.88545016696475	29.56874737544427	28.771773667294003	38.019894616321544	37.99512841934368	42.131753721725225	444	host	gene-FTB24_13440
