Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS05480	39	28	3	9	4	6	host	gene-AUO97_RS05480	False	
gene-AUO97_RS18165	0	0	0	0	3	0	host	gene-AUO97_RS18165	False	
gene-AUO97_RS05395	7	7	1	5	0	0	host	gene-AUO97_RS05395	False	
gene-AUO97_RS12695	39	24	10	12	4	2	host	gene-AUO97_RS12695	False	
gene-AUO97_RS06255	121	94	26	44	21	7	host	gene-AUO97_RS06255	False	
gene-AUO97_RS01205	164	91	45	61	35	22	host	gene-AUO97_RS01205	False	
gene-AUO97_RS02285	968	752	152	169	62	36	host	gene-AUO97_RS02285	False	
gene-AUO97_RS18620	211	155	44	63	35	25	host	gene-AUO97_RS18620	False	
gene-AUO97_RS08625	712	483	177	198	138	81	host	gene-AUO97_RS08625	False	
gene-AUO97_RS14220	413	252	105	104	78	42	host	paaX	False	
gene-AUO97_RS12740	0	0	0	1	0	0	host	gene-AUO97_RS12740	False	
gene-AUO97_RS02150	0	2	0	1	0	0	host	gene-AUO97_RS02150	False	
gene-AUO97_RS00305	117	113	15	26	5	5	host	gene-AUO97_RS00305	False	
gene-AUO97_RS01125	69	59	29	38	12	5	host	gene-AUO97_RS01125	False	
gene-AUO97_RS00910	1	0	0	0	0	0	host	gene-AUO97_RS00910	False	
gene-AUO97_RS13995	34	16	6	5	7	3	host	gene-AUO97_RS13995	False	
gene-AUO97_RS04550	83	71	18	18	7	7	host	aroE	False	
gene-AUO97_RS13090	0	0	0	0	0	0	host	gene-AUO97_RS13090	False	
gene-AUO97_RS03865	146	143	17	37	22	15	host	gene-AUO97_RS03865	False	
gene-AUO97_RS00150	178	112	37	50	23	15	host	gene-AUO97_RS00150	False	
gene-AUO97_RS02410	428	305	123	109	63	49	host	greA	False	
gene-AUO97_RS16640	0	4	1	1	0	0	host	gene-AUO97_RS16640	False	
gene-AUO97_RS18190	0	0	0	0	0	0	host	gene-AUO97_RS18190	False	
gene-AUO97_RS14040	38	18	17	16	6	13	host	gene-AUO97_RS14040	False	
gene-AUO97_RS03095	13	15	2	3	0	0	host	gene-AUO97_RS03095	False	
gene-M172_gp33	8931	10514	74160	100826	113833	80112	phage	gene-M172_gp33	False	
gene-AUO97_RS16245	148	138	165	237	58	42	host	gene-AUO97_RS16245	False	
gene-AUO97_RS00950	0	0	0	0	0	0	host	gene-AUO97_RS00950	False	
gene-AUO97_RS09265	269	166	54	70	51	27	host	gene-AUO97_RS09265	False	
gene-AUO97_RS11630	789	598	143	153	88	88	host	gene-AUO97_RS11630	False	
gene-AUO97_RS16500	0	2	1	2	0	0	host	gene-AUO97_RS16500	False	
gene-AUO97_RS07775	433	397	132	177	76	46	host	thiL	False	
gene-AUO97_RS08505	276	209	50	61	40	13	host	gene-AUO97_RS08505	False	
gene-AUO97_RS11725	181	149	31	52	33	21	host	gene-AUO97_RS11725	False	
gene-AUO97_RS13255	0	0	0	0	0	0	host	gene-AUO97_RS13255_gene_umuD	False	
gene-AUO97_RS12920	4	7	2	4	4	0	host	gene-AUO97_RS12920	False	
gene-AUO97_RS19440	430	476	185	176	54	53	host	gene-AUO97_RS19440	False	
gene-AUO97_RS08945	301	216	105	132	70	51	host	gene-AUO97_RS08945	False	
gene-AUO97_RS11665	221	177	83	123	59	47	host	gene-AUO97_RS11665	False	
gene-AUO97_RS11410	127	102	40	49	16	15	host	pgeF	False	
gene-AUO97_RS02160	58	51	17	15	10	10	host	gene-AUO97_RS02160	False	
gene-AUO97_RS14140	24	21	9	11	4	4	host	gene-AUO97_RS14140	False	
gene-AUO97_RS18275	1	5	2	1	1	0	host	gene-AUO97_RS18275	False	
gene-AUO97_RS00435	70	59	20	24	12	11	host	adeL	False	
gene-AUO97_RS08585	468	417	140	191	59	62	host	gene-AUO97_RS08585	False	
gene-AUO97_RS16395	8	3	5	5	0	1	host	gene-AUO97_RS16395	False	
gene-AUO97_RS02740	126	85	32	40	13	11	host	gene-AUO97_RS02740	False	
gene-AUO97_RS12430	38	46	11	11	5	6	host	gene-AUO97_RS12430	False	
gene-AUO97_RS02900	820	709	230	230	147	84	host	gatB	False	
gene-AUO97_RS12030	35	31	15	19	6	10	host	gene-AUO97_RS12030	False	
gene-AUO97_RS14545	44	34	17	19	15	8	host	gene-AUO97_RS14545	False	
gene-AUO97_RS12265	13	15	11	21	1	2	host	gene-AUO97_RS12265	False	
gene-AUO97_RS18115	0	0	0	0	0	0	host	gene-AUO97_RS18115	False	
gene-AUO97_RS01560	184	142	47	56	27	17	host	gene-AUO97_RS01560	False	
gene-AUO97_RS08120	0	0	0	0	0	0	host	gene-AUO97_RS08120	False	
gene-AUO97_RS10515	232	188	57	93	46	19	host	gene-AUO97_RS10515	False	
gene-AUO97_RS16290	29	12	7	12	5	2	host	gene-AUO97_RS16290	False	
gene-AUO97_RS09760	9	8	6	7	1	5	host	tatC	False	
gene-AUO97_RS08885	64	63	33	45	17	19	host	gene-AUO97_RS08885	False	
gene-AUO97_RS00830	34	38	3	11	11	5	host	bauB	False	
gene-AUO97_RS14245	31	29	9	12	1	3	host	gene-AUO97_RS14245	False	
gene-AUO97_RS03130	967	725	232	254	140	105	host	gene-AUO97_RS03130	False	
gene-AUO97_RS17900	42	35	11	18	9	4	host	gene-AUO97_RS17900	False	
gene-AUO97_RS00295	537	454	130	143	71	61	host	pheA	False	
gene-AUO97_RS14520	21	15	4	6	1	0	host	gene-AUO97_RS14520	False	
gene-AUO97_RS00945	1	0	0	0	0	0	host	gene-AUO97_RS00945	False	
gene-AUO97_RS14010	50	38	8	25	6	14	host	gene-AUO97_RS14010	False	
gene-AUO97_RS02805	216	197	44	40	28	16	host	hchA	False	
gene-AUO97_RS07350	42	27	9	12	0	8	host	gene-AUO97_RS07350	False	
gene-AUO97_RS13990	19	11	1	5	7	0	host	tssG	False	
gene-AUO97_RS18180	23	25	47	38	2	8	host	gene-AUO97_RS18180	False	
gene-AUO97_RS06835	310	258	130	120	61	45	host	prpB	False	
gene-AUO97_RS05515	136	94	36	37	29	22	host	gene-AUO97_RS05515	False	
gene-AUO97_RS05785	75	50	16	27	6	7	host	gene-AUO97_RS05785	False	
gene-AUO97_RS17110	1	1	0	2	0	0	host	gene-AUO97_RS17110	False	
gene-AUO97_RS00750	292	295	49	54	30	28	host	gene-AUO97_RS00750	False	
gene-AUO97_RS04270	582	475	146	208	106	65	host	gene-AUO97_RS04270	False	
gene-AUO97_RS00800	29	9	3	11	1	2	host	basG	False	
gene-AUO97_RS08210	0	0	0	0	0	0	host	gene-AUO97_RS08210	False	
gene-AUO97_RS00340	386	302	178	221	106	76	host	gene-AUO97_RS00340	False	
gene-AUO97_RS02575	573	454	84	85	52	36	host	gene-AUO97_RS02575	False	
gene-AUO97_RS01740	0	0	0	0	0	0	host	gene-AUO97_RS01740	False	
gene-AUO97_RS04035	68	61	20	33	16	18	host	gene-AUO97_RS04035	False	
gene-AUO97_RS16745	5	7	4	2	3	1	host	gene-AUO97_RS16745	False	
gene-AUO97_RS10005	94	60	21	27	17	19	host	gene-AUO97_RS10005	False	
gene-AUO97_RS09730	10	9	3	3	3	2	host	gene-AUO97_RS09730	False	
gene-AUO97_RS18705	19	11	6	7	6	1	host	gene-AUO97_RS18705	False	
gene-AUO97_RS09590	92	83	15	29	8	10	host	lpxL	False	
gene-AUO97_RS10180	197	144	51	57	19	16	host	gene-AUO97_RS10180	False	
gene-AUO97_RS13950	0	0	0	1	0	0	host	gene-AUO97_RS13950	False	
gene-AUO97_RS14925	188	118	67	88	31	29	host	ychF	False	
gene-AUO97_RS00705	38	37	9	18	7	5	host	gene-AUO97_RS00705	False	
gene-AUO97_RS04445	88	67	36	43	15	11	host	gene-AUO97_RS04445	False	
gene-AUO97_RS11905	322	296	105	113	69	33	host	pgaB	False	
gene-AUO97_RS14395	136	99	38	50	27	15	host	gene-AUO97_RS14395	False	
gene-AUO97_RS16780	11	6	7	2	3	1	host	gene-AUO97_RS16780	False	
gene-AUO97_RS09205	303	281	77	112	56	42	host	gene-AUO97_RS09205	False	
gene-AUO97_RS12405	402	288	77	109	46	27	host	gene-AUO97_RS12405	False	
gene-AUO97_RS16540	7	12	3	8	3	5	host	adeA	False	
gene-AUO97_RS05400	19	17	2	14	2	2	host	gene-AUO97_RS05400	False	
gene-AUO97_RS07990	0	0	0	0	0	0	host	gene-AUO97_RS07990	False	
gene-AUO97_RS18300	0	0	1	3	0	0	host	gene-AUO97_RS18300	False	
gene-AUO97_RS16665	19	13	2	5	2	4	host	gene-AUO97_RS16665	False	
gene-AUO97_RS17360	98	76	18	23	16	11	host	gene-AUO97_RS17360	False	
gene-AUO97_RS02825	97	74	12	11	8	1	host	gene-AUO97_RS02825	False	
gene-AUO97_RS12340	83	51	28	41	18	9	host	nth	False	
gene-AUO97_RS13955	1	1	0	0	0	0	host	gene-AUO97_RS13955	False	
gene-AUO97_RS17935	19	8	5	9	5	5	host	gene-AUO97_RS17935	False	
gene-AUO97_RS17020	0	0	0	0	0	0	host	gene-AUO97_RS17020	False	
gene-AUO97_RS18255	0	0	0	0	0	0	host	gene-AUO97_RS18255	False	
gene-AUO97_RS18450	24	19	17	13	4	4	host	mgtA	False	
gene-AUO97_RS12680	89	69	21	19	18	19	host	gene-AUO97_RS12680	False	
gene-AUO97_RS05700	260	192	89	101	29	37	host	gene-AUO97_RS05700	False	
gene-AUO97_RS04450	430	306	140	167	92	81	host	gene-AUO97_RS04450	False	
gene-AUO97_RS08050	0	0	0	0	0	0	host	gene-AUO97_RS08050	False	
gene-AUO97_RS13050	8	4	5	7	1	0	host	gene-AUO97_RS13050	False	
gene-AUO97_RS02715	16	10	5	5	0	3	host	gene-AUO97_RS02715	False	
gene-AUO97_RS11080	187	180	123	155	42	35	host	gene-AUO97_RS11080	False	
gene-AUO97_RS03590	608	464	174	140	78	64	host	yajC	False	
gene-AUO97_RS00640	18	7	2	1	1	0	host	gene-AUO97_RS00640	False	
gene-AUO97_RS17185	3	6	0	1	0	0	host	gene-AUO97_RS17185	False	
gene-AUO97_RS09615	49	31	11	22	6	10	host	gene-AUO97_RS09615	False	
gene-AUO97_RS10020	87	64	16	46	18	15	host	gene-AUO97_RS10020	False	
gene-AUO97_RS03730	0	0	0	0	0	0	host	gene-AUO97_RS03730	False	
gene-AUO97_RS13155	0	0	0	0	0	0	host	gene-AUO97_RS13155	False	
gene-AUO97_RS05295	0	0	0	0	0	0	host	elbB	False	
gene-AUO97_RS08105	0	0	0	0	0	0	host	gene-AUO97_RS08105	False	
gene-AUO97_RS10855	5	4	0	2	0	0	host	gene-AUO97_RS10855	False	
gene-AUO97_RS03685	0	0	1	0	0	0	host	gene-AUO97_RS03685	False	
gene-AUO97_RS13760	21	20	7	9	1	4	host	gene-AUO97_RS13760	False	
gene-AUO97_RS10030	24	19	6	9	6	1	host	gene-AUO97_RS10030	False	
gene-AUO97_RS17210	30	28	8	10	4	4	host	pcaU	False	
gene-AUO97_RS13200	0	0	0	0	0	0	host	gene-AUO97_RS13200	False	
gene-AUO97_RS09495	100	75	26	47	16	13	host	gene-AUO97_RS09495	False	
gene-AUO97_RS16690	0	0	0	0	1	0	host	iaaH	False	
gene-AUO97_RS12685	25	12	6	9	2	4	host	gene-AUO97_RS12685	False	
gene-AUO97_RS00600	442	351	111	132	68	80	host	metF	False	
gene-AUO97_RS11820	102	72	23	17	10	9	host	gene-AUO97_RS11820	False	
gene-AUO97_RS15220	116	88	34	48	19	11	host	gene-AUO97_RS15220	False	
gene-AUO97_RS12990	4	1	3	1	1	0	host	gene-AUO97_RS12990	False	
gene-AUO97_RS04940	452	367	109	147	76	48	host	aroB	False	
gene-AUO97_RS15795	174	181	110	146	28	22	host	gene-AUO97_RS15795	False	
gene-AUO97_RS16270	149	96	53	53	17	20	host	lpdA	False	
gene-AUO97_RS09525	536	426	160	181	101	96	host	leuB	False	
gene-AUO97_RS18825	20	14	10	10	3	5	host	kdpB	False	
gene-AUO97_RS12830	0	0	0	0	0	0	host	mhpT	False	
gene-AUO97_RS02335	9	10	3	4	0	2	host	gene-AUO97_RS02335	False	
gene-AUO97_RS09965	19	15	5	7	2	3	host	gene-AUO97_RS09965	False	
gene-AUO97_RS12670	221	192	86	101	38	35	host	gene-AUO97_RS12670	False	
gene-AUO97_RS13785	7	5	2	3	0	1	host	gene-AUO97_RS13785	False	
gene-AUO97_RS03115	334	256	61	94	22	23	host	gene-AUO97_RS03115	False	
gene-AUO97_RS09745	53	63	9	27	11	13	host	gene-AUO97_RS09745	False	
gene-AUO97_RS11260	151	152	60	63	29	22	host	scpB	False	
gene-AUO97_RS04590	1	0	0	0	0	0	host	gene-AUO97_RS04590	False	
gene-AUO97_RS10780	176	141	81	111	47	26	host	gene-AUO97_RS10780	False	
gene-AUO97_RS00395	59	68	17	12	6	6	host	gene-AUO97_RS00395	False	
gene-AUO97_RS14090	50	30	14	19	12	12	host	soxR	False	
gene-AUO97_RS16090	74	53	27	36	13	11	host	gene-AUO97_RS16090	False	
gene-AUO97_RS00700	835	656	235	215	144	84	host	gene-AUO97_RS00700	False	
gene-AUO97_RS01080	196	165	62	62	20	15	host	mnmA	False	
gene-AUO97_RS08705	50	52	11	12	8	1	host	gene-AUO97_RS08705	False	
gene-AUO97_RS08895	182	166	43	68	25	15	host	gene-AUO97_RS08895	False	
gene-AUO97_RS17340	81	71	20	31	10	11	host	gene-AUO97_RS17340	False	
gene-AUO97_RS18525	4	5	4	2	0	0	host	gene-AUO97_RS18525	False	
gene-AUO97_RS13160	0	0	0	0	0	0	host	gene-AUO97_RS13160	False	
gene-AUO97_RS01995	244	155	103	118	57	50	host	serC	False	
gene-AUO97_RS18890	23	15	8	11	6	1	host	gene-AUO97_RS18890	False	
gene-AUO97_RS01960	284	189	47	60	35	31	host	gene-AUO97_RS01960	False	
gene-AUO97_RS13065	1	2	0	0	0	0	host	gene-AUO97_RS13065	False	
gene-AUO97_RS09610	129	100	31	51	23	22	host	gene-AUO97_RS09610	False	
gene-AUO97_RS08995	363	306	161	194	61	49	host	pgsA	False	
gene-AUO97_RS06855	483	372	129	144	74	58	host	lldD	False	
gene-AUO97_RS18725	181	144	58	97	9	6	host	gene-AUO97_RS18725	False	
gene-AUO97_RS16030	28	20	6	6	0	0	host	gene-AUO97_RS16030	False	
gene-AUO97_RS08195	0	0	0	0	0	0	host	gene-AUO97_RS08195	False	
gene-AUO97_RS16305	3	10	2	3	1	3	host	gene-AUO97_RS16305	False	
gene-AUO97_RS06580	108	85	32	48	18	20	host	gene-AUO97_RS06580	False	
gene-AUO97_RS15255	71	49	23	19	8	10	host	gene-AUO97_RS15255	False	
gene-AUO97_RS12845	0	0	0	0	0	0	host	gene-AUO97_RS12845	False	
gene-AUO97_RS17605	40	33	5	9	1	0	host	gene-AUO97_RS17605	False	
gene-AUO97_RS07095	15	13	15	18	1	4	host	gene-AUO97_RS07095	False	
gene-AUO97_RS01870	186	124	43	35	29	22	host	tolR	False	
gene-AUO97_RS14540	6	0	0	0	0	0	host	gene-AUO97_RS14540	False	
gene-AUO97_RS11500	48	21	9	8	3	2	host	gene-AUO97_RS11500	False	
gene-AUO97_RS01930	394	346	104	130	68	47	host	hda	False	
gene-AUO97_RS05560	399	314	104	101	63	47	host	gene-AUO97_RS05560	False	
gene-AUO97_RS06350	36	27	10	15	2	4	host	gene-AUO97_RS06350	False	
gene-AUO97_RS07740	0	0	0	0	0	0	host	gene-AUO97_RS07740	False	
gene-AUO97_RS04095	552	367	184	197	82	59	host	gene-AUO97_RS04095	False	
gene-AUO97_RS08410	0	0	0	0	0	0	host	gene-AUO97_RS08410	False	
gene-AUO97_RS11835	5	3	1	0	1	0	host	gene-AUO97_RS11835	False	
gene-AUO97_RS06180	29	29	9	10	5	5	host	gene-AUO97_RS06180	False	
gene-AUO97_RS00850	39	18	6	11	5	5	host	basB	False	
gene-AUO97_RS15545	13	6	4	7	6	2	host	gene-AUO97_RS15545	False	
gene-AUO97_RS11550	42	37	16	36	17	11	host	gene-AUO97_RS11550	False	
gene-AUO97_RS18140	138	129	40	44	17	12	host	gene-AUO97_RS18140	False	
gene-AUO97_RS14195	363	257	69	84	61	16	host	gene-AUO97_RS14195	False	
gene-AUO97_RS02730	19	15	13	7	1	4	host	gene-AUO97_RS02730	False	
gene-AUO97_RS08165	0	0	0	0	0	0	host	gene-AUO97_RS08165	False	
gene-AUO97_RS09095	315	262	190	245	56	47	host	gene-AUO97_RS09095	False	
gene-AUO97_RS04935	286	224	76	103	43	27	host	gene-AUO97_RS04935	False	
gene-AUO97_RS11090	34	26	25	47	15	12	host	gene-AUO97_RS11090	False	
gene-AUO97_RS15945	82	57	20	23	7	7	host	gene-AUO97_RS15945	False	
gene-AUO97_RS02590	80	78	39	41	13	9	host	gene-AUO97_RS02590	False	
gene-AUO97_RS10775	8	10	4	5	1	1	host	gene-AUO97_RS10775	False	
gene-AUO97_RS09430	455	408	101	122	57	48	host	gene-AUO97_RS09430	False	
gene-AUO97_RS01485	190	102	40	46	25	20	host	gene-AUO97_RS01485	False	
gene-AUO97_RS10805	28	25	12	18	2	2	host	gene-AUO97_RS10805	False	
gene-AUO97_RS16300	24	31	18	9	10	5	host	gene-AUO97_RS16300	False	
gene-AUO97_RS17215	76	51	19	29	3	5	host	gene-AUO97_RS17215	False	
gene-AUO97_RS03830	0	0	0	0	0	0	host	gene-AUO97_RS03830	False	
gene-AUO97_RS16590	163	123	29	37	13	16	host	gene-AUO97_RS16590	False	
gene-AUO97_RS18520	123	73	26	45	14	9	host	gene-AUO97_RS18520	False	
gene-AUO97_RS18210	0	0	0	0	0	0	host	gene-AUO97_RS18210	False	
gene-AUO97_RS03015	130	86	30	37	30	21	host	elsL	False	
gene-AUO97_RS00860	16	10	7	8	1	3	host	bauF	False	
gene-AUO97_RS17120	20	9	2	9	3	1	host	feaR	False	
gene-AUO97_RS06960	60	35	11	15	10	7	host	gene-AUO97_RS06960	False	
gene-AUO97_RS18145	1	1	4	10	1	2	host	gene-AUO97_RS18145	False	
gene-AUO97_RS02440	58	42	19	18	5	6	host	gene-AUO97_RS02440	False	
gene-AUO97_RS00425	15	6	1	4	0	1	host	hisQ	False	
gene-AUO97_RS15830	172	121	39	43	13	19	host	gene-AUO97_RS15830	False	
gene-AUO97_RS05645	648	427	150	191	114	68	host	pdxH	False	
gene-AUO97_RS10365	383	297	91	117	69	43	host	gene-AUO97_RS10365	False	
gene-AUO97_RS01185	39	52	11	16	1	1	host	fabR	False	
gene-AUO97_RS02725	15	16	4	7	6	4	host	gene-AUO97_RS02725	False	
gene-AUO97_RS05530	28	25	14	11	4	2	host	gene-AUO97_RS05530	False	
gene-AUO97_RS03755	0	0	0	0	0	0	host	gene-AUO97_RS03755	False	
gene-AUO97_RS00735	83	58	35	36	12	10	host	xdhA	False	
gene-AUO97_RS13595	189	142	26	42	24	10	host	gene-AUO97_RS13595	False	
gene-AUO97_RS15990	51	26	8	12	8	3	host	gene-AUO97_RS15990	False	
gene-AUO97_RS14895	11	5	4	0	0	3	host	ygaH	False	
gene-AUO97_RS16265	194	172	66	88	46	27	host	gene-AUO97_RS16265	False	
gene-AUO97_RS18020	3	0	0	0	0	0	host	gene-AUO97_RS18020	False	
gene-M172_gp01	14226	16108	5257	6762	3053	2590	phage	gene-M172_gp01	False	
gene-AUO97_RS12285	1	0	0	0	0	0	host	gene-AUO97_RS12285	False	
gene-AUO97_RS15240	157	94	48	49	22	18	host	gene-AUO97_RS15240	False	
gene-AUO97_RS02550	423	304	224	256	76	56	host	gene-AUO97_RS02550	False	
gene-AUO97_RS00045	803	634	125	155	93	55	host	gene-AUO97_RS00045	False	
gene-AUO97_RS05675	75	71	27	22	25	15	host	gene-AUO97_RS05675	False	
gene-AUO97_RS12065	8	3	11	4	1	2	host	gene-AUO97_RS12065	False	
gene-AUO97_RS12875	0	0	0	0	0	0	host	gene-AUO97_RS12875	False	
gene-AUO97_RS17990	0	2	0	2	0	0	host	gene-AUO97_RS17990	False	
gene-AUO97_RS12210	546	413	109	169	74	51	host	gene-AUO97_RS12210	False	
gene-AUO97_RS14725	628	507	117	130	61	54	host	tauA	False	
gene-AUO97_RS10015	58	57	20	33	9	13	host	gene-AUO97_RS10015	False	
gene-AUO97_RS04835	156	133	45	62	23	16	host	gene-AUO97_RS04835	False	
gene-AUO97_RS08335	0	0	0	0	0	0	host	gene-AUO97_RS08335	False	
gene-AUO97_RS01975	782	583	192	239	122	93	host	gene-AUO97_RS01975	False	
gene-AUO97_RS09765	8	14	6	11	0	4	host	tatB	False	
gene-AUO97_RS19570	0	0	0	0	0	0	host	gene-AUO97_RS19570	False	
gene-AUO97_RS13910	0	0	0	0	0	0	host	gene-AUO97_RS13910	False	
gene-AUO97_RS14005	60	38	14	24	13	13	host	tagF	False	
gene-AUO97_RS19320	110	106	141	147	32	29	host	gene-AUO97_RS19320	False	
gene-AUO97_RS14070	145	102	35	39	9	6	host	gene-AUO97_RS14070	False	
gene-AUO97_RS17255	93	53	13	23	12	10	host	pcaG	False	
gene-AUO97_RS06925	0	0	0	0	0	0	host	gene-AUO97_RS06925	False	
gene-AUO97_RS10510	231	193	50	63	25	14	host	gene-AUO97_RS10510	False	
gene-AUO97_RS10865	455	354	234	249	102	80	host	gene-AUO97_RS10865	False	
gene-AUO97_RS12015	108	79	32	45	20	8	host	def	False	
gene-AUO97_RS18685	349	278	126	140	37	51	host	hfq	False	
gene-AUO97_RS05385	85	61	16	13	14	4	host	gene-AUO97_RS05385	False	
gene-AUO97_RS19380	2	7	0	1	2	0	host	gene-AUO97_RS19380	False	
gene-AUO97_RS08400	16	8	3	5	1	2	host	gene-AUO97_RS08400	False	
gene-AUO97_RS05850	570	394	177	201	93	69	host	parE	False	
gene-AUO97_RS17490	14	20	8	19	2	6	host	gene-AUO97_RS17490	False	
gene-AUO97_RS05410	0	0	2	0	0	0	host	gene-AUO97_RS05410	False	
gene-AUO97_RS17770	465	327	89	100	57	34	host	glnL	False	
gene-AUO97_RS05080	21	22	12	5	2	0	host	gene-AUO97_RS05080	False	
gene-AUO97_RS06325	60	27	6	6	6	7	host	gene-AUO97_RS06325	False	
gene-AUO97_RS09350	39	14	9	10	1	3	host	gene-AUO97_RS09350	False	
gene-AUO97_RS03915	103	122	53	58	20	19	host	gene-AUO97_RS03915	False	
gene-AUO97_RS05190	146	98	34	50	19	8	host	hisH	False	
gene-AUO97_RS03480	94	66	25	30	24	13	host	gene-AUO97_RS03480	False	
gene-AUO97_RS16015	44	21	14	21	9	9	host	gene-AUO97_RS16015	False	
gene-AUO97_RS11385	390	296	87	135	56	39	host	gene-AUO97_RS11385	False	
gene-AUO97_RS12200	40	51	35	28	1	4	host	gene-AUO97_RS12200	False	
gene-AUO97_RS09600	218	149	64	69	38	25	host	gene-AUO97_RS09600	False	
gene-AUO97_RS03770	0	0	0	0	0	0	host	gene-AUO97_RS03770	False	
gene-AUO97_RS15055	16	11	8	6	4	4	host	gene-AUO97_RS15055	False	
gene-AUO97_RS15385	45	37	13	16	6	6	host	gspK	False	
gene-AUO97_RS14595	9	9	2	6	3	3	host	gene-AUO97_RS14595	False	
gene-AUO97_RS18830	8	4	4	3	0	2	host	kdpA	False	
gene-AUO97_RS14225	124	54	19	18	20	11	host	gene-AUO97_RS14225	False	
gene-AUO97_RS15670	0	0	0	0	0	0	host	gene-AUO97_RS15670	False	
gene-AUO97_RS15925	88	90	30	23	12	4	host	gene-AUO97_RS15925	False	
gene-AUO97_RS12675	34	34	10	13	4	8	host	gene-AUO97_RS12675	False	
gene-AUO97_RS09645	64	53	22	24	7	7	host	gene-AUO97_RS09645	False	
gene-AUO97_RS02925	0	0	0	0	0	0	host	gene-AUO97_RS02925	False	
gene-AUO97_RS12060	2	7	0	0	1	0	host	gene-AUO97_RS12060	False	
gene-AUO97_RS12205	527	405	168	170	84	63	host	lysS	False	
gene-AUO97_RS15775	251	184	65	64	41	19	host	gene-AUO97_RS15775	False	
gene-AUO97_RS17275	39	18	12	6	7	2	host	pcaD	False	
gene-AUO97_RS14975	281	212	109	103	28	25	host	gene-AUO97_RS14975	False	
gene-AUO97_RS15695	0	0	0	0	0	0	host	gene-AUO97_RS15695	False	
gene-AUO97_RS09195	437	327	99	111	35	34	host	gene-AUO97_RS09195	False	
gene-AUO97_RS05350	0	0	0	0	0	0	host	gene-AUO97_RS05350	False	
gene-AUO97_RS00685	342	244	91	105	53	38	host	gene-AUO97_RS00685	False	
gene-AUO97_RS08280	0	0	0	0	0	0	host	gene-AUO97_RS08280	False	
gene-AUO97_RS12160	90	70	34	30	11	9	host	mtgA	False	
gene-AUO97_RS10730	44	36	15	19	9	2	host	gene-AUO97_RS10730	False	
gene-AUO97_RS12295	66	38	12	14	8	2	host	ureE	False	
gene-AUO97_RS03040	35	20	7	18	7	4	host	gene-AUO97_RS03040	False	
gene-AUO97_RS10695	331	247	68	102	35	28	host	rpe	False	
gene-AUO97_RS05240	197	166	55	76	38	30	host	hisF	False	
gene-AUO97_RS12635	0	0	1	0	0	2	host	gene-AUO97_RS12635	False	
gene-AUO97_RS15845	553	446	199	242	90	56	host	gene-AUO97_RS15845	False	
gene-AUO97_RS04530	512	375	168	201	105	77	host	gene-AUO97_RS04530	False	
gene-AUO97_RS14480	26	23	16	11	3	2	host	gene-AUO97_RS14480	False	
gene-AUO97_RS19435	2	0	0	0	0	0	host	gene-AUO97_RS19435	False	
gene-AUO97_RS11230	37	35	4	8	3	3	host	gene-AUO97_RS11230	False	
gene-AUO97_RS12715	558	501	142	145	57	48	host	gene-AUO97_RS12715	False	
gene-AUO97_RS00670	99	78	25	25	17	12	host	ubiA	False	
gene-AUO97_RS15995	8	4	2	2	1	0	host	gene-AUO97_RS15995	False	
gene-AUO97_RS17170	0	0	0	0	0	0	host	gene-AUO97_RS17170	False	
gene-AUO97_RS07540	85	69	17	33	14	5	host	gene-AUO97_RS07540	False	
gene-AUO97_RS06790	3	7	2	0	0	0	host	gene-AUO97_RS06790	False	
gene-AUO97_RS06820	0	0	0	0	1	0	host	gene-AUO97_RS06820	False	
gene-AUO97_RS08240	0	0	0	0	0	0	host	gene-AUO97_RS08240	False	
gene-AUO97_RS18360	330	270	85	121	35	36	host	gene-AUO97_RS18360	False	
gene-AUO97_RS01135	672	609	242	312	61	74	host	gene-AUO97_RS01135	False	
gene-AUO97_RS01580	161	137	42	35	16	22	host	gene-AUO97_RS01580	False	
gene-AUO97_RS08065	0	0	0	0	0	0	host	gene-AUO97_RS08065	False	
gene-AUO97_RS05165	35	29	15	18	10	8	host	gene-AUO97_RS05165	False	
gene-AUO97_RS17905	9	13	3	5	2	2	host	gene-AUO97_RS17905	False	
gene-AUO97_RS16475	65	71	73	84	34	18	host	gene-AUO97_RS16475	False	
gene-AUO97_RS17810	44	33	14	19	6	2	host	gene-AUO97_RS17810	False	
gene-AUO97_RS04475	365	325	114	150	86	52	host	recG	False	
gene-AUO97_RS06030	0	1	1	0	0	0	host	sul2	False	
gene-AUO97_RS08245	0	0	0	0	0	0	host	gene-AUO97_RS08245	False	
gene-AUO97_RS11740	196	177	72	97	38	31	host	gene-AUO97_RS11740	False	
gene-AUO97_RS08985	335	257	101	80	64	46	host	uvrC	False	
gene-AUO97_RS01655	1	0	0	0	0	0	host	gene-AUO97_RS01655	False	
gene-AUO97_RS14190	743	535	133	149	89	51	host	paaE	False	
gene-AUO97_RS12050	1	1	0	0	0	1	host	gene-AUO97_RS12050	False	
gene-AUO97_RS07535	15	5	3	2	0	0	host	gene-AUO97_RS07535	False	
gene-AUO97_RS05270	247	203	101	110	42	30	host	gene-AUO97_RS05270	False	
gene-AUO97_RS07165	106	84	65	71	21	24	host	gene-AUO97_RS07165	False	
