Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS15890	165	107	33	56	18	7	host	gene-AUO97_RS15890	False	
gene-AUO97_RS03350	110	84	28	39	22	11	host	gene-AUO97_RS03350	False	
gene-AUO97_RS12640	0	0	0	0	0	0	host	gene-AUO97_RS12640	False	
gene-AUO97_RS09395	619	419	130	135	79	36	host	abeM	False	
gene-AUO97_RS15600	5	1	4	3	0	0	host	gene-AUO97_RS15600	False	
gene-AUO97_RS03910	50	51	6	14	7	6	host	gene-AUO97_RS03910	False	
gene-AUO97_RS02075	102	109	38	39	14	7	host	gene-AUO97_RS02075	False	
gene-AUO97_RS05490	739	612	221	250	124	101	host	gene-AUO97_RS05490	False	
gene-AUO97_RS14265	55	26	23	24	5	6	host	gene-AUO97_RS14265	False	
gene-AUO97_RS18535	4	0	1	1	0	1	host	gene-AUO97_RS18535	False	
gene-AUO97_RS07155	99	92	43	25	21	8	host	gene-AUO97_RS07155	False	
gene-AUO97_RS15840	756	588	178	188	122	65	host	mfd	False	
gene-M172_gp10	159001	178933	203127	338493	111663	91265	phage	gene-M172_gp10	False	
gene-AUO97_RS08835	76	57	21	30	19	11	host	gene-AUO97_RS08835	False	
gene-AUO97_RS13270	1	0	0	0	0	0	host	gene-AUO97_RS13270	False	
gene-AUO97_RS11735	184	129	60	71	25	9	host	gene-AUO97_RS11735	False	
gene-AUO97_RS07080	18	10	4	3	5	0	host	gene-AUO97_RS07080	False	
gene-AUO97_RS16010	341	229	119	91	28	28	host	gene-AUO97_RS16010	False	
gene-AUO97_RS16205	905	704	259	281	114	84	host	gene-AUO97_RS16205	False	
gene-AUO97_RS03715	0	0	0	0	0	0	host	gene-AUO97_RS03715	False	
gene-AUO97_RS08375	0	0	0	0	0	0	host	gene-AUO97_RS08375	False	
gene-AUO97_RS09180	397	371	124	139	82	65	host	gene-AUO97_RS09180	False	
gene-AUO97_RS03355	458	323	97	133	61	39	host	gene-AUO97_RS03355_gene_trpB	False	
gene-AUO97_RS18070	24	9	11	19	6	3	host	gene-AUO97_RS18070	False	
gene-AUO97_RS00250	0	0	0	0	0	0	host	rtcR	False	
gene-AUO97_RS09655	585	475	207	236	134	98	host	gene-AUO97_RS09655	False	
gene-AUO97_RS13935	21	16	2	7	4	0	host	gene-AUO97_RS13935	False	
gene-AUO97_RS13340	38	25	24	28	5	4	host	gene-AUO97_RS13340	False	
gene-AUO97_RS19165	0	0	0	0	0	0	host	gene-AUO97_RS19165	False	
gene-AUO97_RS09665	616	519	172	238	108	94	host	gene-AUO97_RS09665	False	
gene-AUO97_RS11545	30	9	7	13	3	3	host	gene-AUO97_RS11545	False	
gene-AUO97_RS11880	351	319	219	277	68	68	host	gene-AUO97_RS11880	False	
