Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-b0732	42.634331662022056	42.271385828966224	39.51042529058743	48.21524432912261	41.529058582421996	39.017845126561106	3.1610853548838764	2.9946343475226396	1.3909323346945988	1.1834308308847235	0.9845077196768293	0.6188006059852035	0.7160489844474881	0.5606624176823961	2634.0	host	mngB
gene-b4612	1.4087363841357583	2.3173249723921296	1.44086033415583	3.9181083986911447	2.424208060326209	4.196186675786459	0.215216574254656	0.747240135598203	0.2829561144258243	0.36776271927210497	0.43176712181631177	0.0	0.0	0.4302986037807201	156.0	host	yrhD
gene-b0692	23.974131919110356	20.8822579898518	19.242034826135583	25.46770459149244	22.490039323299058	17.95204954204643	1.5260811628966515	1.7956406894829546	0.6019248252331171	0.5939925132485816	0.40821618789905834	0.23745932345061566	0.3896845093046866	0.2542673567795164	1320.0	host	potE
gene-b0960	148.95719538104004	134.59849672512726	157.15411488636678	127.53558040555484	137.69029095844448	148.85124813037714	12.235571812082254	14.756084683289306	4.057543390150817	4.980675044849511	4.612331231658929	2.7793985435640307	3.3697880501309023	3.116368718189059	2154.0	host	yccS
gene-b2274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07410078178600772	0.0	0.0	423.0	host	yfbO
gene-T4p257	0.0	0.6478542933569393	26.586197133455954	94.9333791224091	53.20224356049239	52.55611010705448	8662.036680601394	8020.730988388093	7968.981284201568	7791.1441598499005	8261.692097637842	2134.2435459571957	2180.547878242825	2392.4972519544617	279.0	phage	arn
gene-b0952	398.4176252366929	282.82458240179477	404.1153388264287	255.6403633462811	245.74764475370688	259.0564948608934	34.58576139032802	38.92538153169363	9.078677033066874	12.816922003568255	12.061919807336539	5.390831874932063	6.586865819216336	4.879769272662209	564.0	host	pqiC
gene-b1098	315.43845820101524	285.3450016238552	294.79733117139654	251.7679623167269	266.6968708610277	297.12139000400487	39.74466829226171	44.545754625567646	9.350774024389857	10.515035007723922	10.334164476369853	5.761162651194376	8.279278359682127	5.646161118767579	642.0	host	tmk
gene-b4378	92.83572771454645	80.6429090392461	72.33118877462265	63.82163236090242	78.78676196060178	64.78912227414293	7.360406839509235	8.966881627178436	3.2822909273395613	3.040171812649401	3.281430125803969	1.7681586546168921	2.7111383809744867	1.4630152528544484	780.0	host	yjjV
gene-b2540	16.43086922805071	14.358751931738146	11.9039302373248	10.155346379162093	12.959317855201789	12.64346340442574	0.941321091132514	0.9683859701210357	0.5500455308464621	0.29787634582787315	0.524576876973089	0.09764682459651486	0.26707349547361703	0.6273512354186199	321.0	host	hcaC
gene-b1119	246.26936315299582	246.253892214236	295.50907932219627	257.8791257319834	311.5187101205373	234.13617391236915	23.928684900682146	30.718779784920866	8.131265182973689	9.3940792852664	9.26879025320148	4.055555287353935	6.204187582350933	3.385770592906192	912.0	host	nagK
gene-b1117	169.98752368571482	214.99626132749205	201.08006441108026	126.7338765996395	150.704934416946	203.84142385042665	16.499937359523628	17.767709890890607	5.973517971211846	6.646970629806934	6.524480951890933	3.348785330713811	5.414135205249351	4.781095597563557	702.0	host	lolD
gene-b3146	864.3751211621559	955.2950155352962	878.995089705015	951.5830838304755	1091.2652827379243	998.8620308073483	74.63440837079234	77.39706770342364	26.710268473952723	33.53859316753273	30.470422596751142	18.63931581426993	25.788877282440243	16.606227649739566	861.0	host	rsmI
gene-b2479	1807.7701844211656	1498.8482186615252	1740.5291085747106	1625.9032999934534	1526.5656998104457	1547.290011265075	48.51499906339512	69.9145517446612	25.190501412024698	30.471034659969384	30.915430146386804	18.38009758059635	25.08579860363969	17.689553072702694	573.0	host	gcvR
gene-b3492	125.13513716437832	146.56935978748524	150.97054314187366	131.4243641762137	142.7985501071456	158.89002115995407	24.336110581055163	24.58003877464014	6.311120916270754	7.948321447277413	6.9987189321846035	3.1787572276381666	5.5110826696899995	3.515357172034012	1203.0	host	yhiN
gene-b2382	254.59708469653518	182.75267395910657	256.7351140859479	210.39054795396086	240.98831945151906	203.70578953363352	11.465173864838947	15.89583561181632	6.019248252331172	6.753460844815019	6.08399126195712	2.484189845329518	4.0633769346300666	2.7382638422409458	858.0	host	ypdC
gene-b2474	239.22104723105343	186.53431507679682	244.17436734176474	193.09640571221516	190.35444452266825	203.71986764910423	16.736931801411195	19.42824352555328	5.320585508757018	7.029083878468625	6.88257352514335	3.3739012206941643	4.252509526142414	3.396285408412112	2016.0	host	tmcA
