Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0978	23	214	61	404	28	319	7	209	6	196	6	63	host	appC
gene-b2838	115	251	122	310	40	295	21	204	21	127	20	44	host	lysA
gene-b2322	44	531	87	587	42	299	27	169	14	96	8	36	host	yfcJ
gene-b1482	230	1127	204	1113	89	254	29	128	16	93	15	51	host	osmC
gene-b3091	47	219	59	467	31	302	3	185	12	151	11	44	host	uxaA
gene-b1781	71	388	161	650	78	182	25	117	11	76	8	35	host	yeaE
gene-T4p100	0	1	1250	83310	4286	62453	144	12680	968	16595	103	8881	phage	mobD.3
gene-b1652	127	1271	206	914	81	199	34	88	21	67	11	24	host	rnt
gene-b2173	153	739	143	505	46	227	27	143	7	100	8	47	host	yeiR
gene-b2308	228	1047	671	2105	209	242	51	109	25	88	16	46	host	hisQ
gene-b2388	269	463	338	505	180	304	52	183	36	120	29	44	host	glk
gene-b4769	15	134	28	176	19	52	6	20	1	10	1	3	host	ybiE
gene-b2570	121	1196	405	1426	103	261	34	128	18	117	29	45	host	rseC
gene-b1544	2	25	6	114	4	29	0	23	0	14	0	9	host	ydfK
gene-b3289	522	3292	1082	4676	472	463	188	240	124	178	62	77	host	rsmB
gene-b0081	457	2102	475	2152	216	581	92	270	65	212	56	65	host	mraZ
gene-b1547	8	47	11	117	3	145	3	95	1	31	2	11	host	stfQ
gene-b0647	5	24	3	102	1	97	0	57	1	51	1	14	host	ybeT
gene-b3945	34	514	45	605	25	373	23	211	7	144	7	50	host	gldA
gene-b2201	53	208	34	298	22	130	11	91	3	67	5	23	host	ccmA
gene-b2759	11	48	7	96	2	89	1	75	1	36	0	11	host	casB
gene-b4385	130	699	185	818	63	394	37	226	18	168	28	84	host	hipH
gene-b0556	38	826	51	712	32	252	8	108	13	83	2	42	host	rzpD
gene-b1608	97	965	184	458	70	155	32	80	8	48	10	30	host	rstA
gene-b2205	13	56	29	139	21	166	6	84	3	55	4	38	host	napG
gene-b1822	120	1356	308	1181	137	291	51	145	33	81	22	31	host	rlmA
gene-b2012	698	2142	801	2894	377	614	68	112	15	61	42	33	host	tsuB
gene-T4p190	0	1	2	702	9	1557	5	7018	2415	57980	343	35423	phage	26'
gene-b3667	30	270	102	561	49	540	16	434	8	318	8	155	host	uhpC
